date,region,revenue,orders,average_order_value,conversion_rate
2026-05-20,North,125000,450,277.78,3.5
2026-05-20,South,98000,380,257.89,3.2
2026-05-20,East,156000,520,300.00,4.1
2026-05-20,West,142000,480,295.83,3.8
2026-05-21,North,138000,490,281.63,3.7
2026-05-21,South,102000,395,258.23,3.3
2026-05-21,East,168000,550,305.45,4.2
2026-05-21,West,155000,510,303.92,3.9
2026-05-22,North,145000,510,284.31,3.8
2026-05-22,South,108000,410,263.41,3.4
2026-05-22,East,175000,570,307.02,4.3
2026-05-22,West,162000,540,300.00,4.0
