order_id,customer_id,order_date,order_total,status
1,101,2026-05-01,156.50,completed
2,102,2026-05-02,245.75,completed
3,103,2026-05-03,89.99,completed
4,104,2026-05-04,512.30,completed
5,105,2026-05-05,178.50,completed
6,101,2026-05-06,95.25,completed
7,102,2026-05-07,234.80,completed
8,103,2026-05-08,456.00,completed
9,104,2026-05-09,123.50,completed
10,105,2026-05-10,789.99,completed
11,106,2026-05-11,234.50,completed
12,107,2026-05-12,567.80,completed
13,108,2026-05-13,345.60,completed
14,109,2026-05-14,123.45,completed
15,110,2026-05-15,567.34,completed
16,101,2026-05-16,234.50,completed
17,102,2026-05-17,456.78,completed
18,103,2026-05-18,123.99,completed
19,104,2026-05-19,789.00,completed
20,105,2026-05-20,567.50,completed
