date,product_category,total_sales,unit_sold,avg_order_value,customer_count,conversion_rate
2026-05-01,Electronics,5600.50,25,224.02,45,0.78
2026-05-02,Furniture,3245.75,18,180.32,32,0.72
2026-05-03,Apparel,2156.80,32,67.40,58,0.82
2026-05-04,Electronics,6789.99,28,242.50,48,0.80
2026-05-05,Furniture,2456.50,15,163.77,22,0.68
2026-05-06,Apparel,3456.78,48,71.99,70,0.85
2026-05-07,Electronics,5234.50,22,237.93,38,0.75
2026-05-08,Furniture,4567.80,20,228.39,28,0.70
2026-05-09,Apparel,2789.00,42,66.40,55,0.80
2026-05-10,Electronics,7890.99,30,263.03,52,0.82
2026-05-11,Furniture,3876.50,18,215.36,25,0.72
2026-05-12,Apparel,4234.60,55,77.00,75,0.87
2026-05-13,Electronics,6543.50,26,251.68,45,0.78
2026-05-14,Furniture,2345.50,12,195.46,18,0.65
2026-05-15,Apparel,3567.80,50,71.36,68,0.84
2026-05-16,Electronics,5678.90,23,246.91,40,0.77
2026-05-17,Furniture,4321.80,22,196.45,30,0.73
2026-05-18,Apparel,2876.50,40,71.91,60,0.82
2026-05-19,Electronics,7234.50,29,249.46,50,0.80
2026-05-20,Furniture,3876.90,17,228.05,24,0.71
